team,x_25,ig_25,fb_25,tt_25
Boston Celtics,4.2,8.4,8.9,2
Brooklyn Nets,2,4.7,3.1,3.1
New York Knicks,2.4,4.4,5.6,1.9
Philadelphia 76ers,2.3,4.5,1.9,1.2
Toronto Raptors,2.5,4.1,2.5,.729
Chicago Bulls,4.6,10.2,16,2.8
Cleveland Cavaliers,3.2,16.5,7.7,.873
Detroit Pistons,1.1,1.7,1.9,.589
Indiana Pacers,1.4,3.3,3.3,.917
Milwaukee Bucks,2,5.5,2.7,2.1
Denver Nuggets,1.4,3.1,2.5,1.2
Minnesota Timberwolves,1.3,4,2.1,1.2
Oklahoma City Thunder,2.7,6.1,6.1,.765
Portland Trail Blazers,1.5,2.9,2.4,1.1
Utah Jazz,1.2,1.4,3.2,3.8
Golden State Warriors,8.6,32.7,14,6.7
LA Clippers,2,5.3,4.2,3.1
Los Angeles Lakers,12.3,25.3,23,3.5
Phoenix Suns,1.7,3.6,2.2,1
Sacramento Kings,1.2,2.2,7.2,.577
Atlanta Hawks,1.5,2.6,1.7,1.2
Charlotte Hornets,1.2,2.5,1.8,1.6
Miami Heat,4.9,6.7,14,1.4
Orlando Magic,1.6,2,2.7,1.5
Washington Wizards,1.2,1.5,4.8,.779
Dallas Mavericks,2.3,4.6,5.1,2.7
Houston Rockets,3.2,6.3,15,1.3
Memphis Grizzlies,1.6,2.1,2,1.6
New Orleans Pelicans,1.3,2.7,1.8,.891
San Antonio Spurs,3.5,5.3,6.7,.976
