team,ig_18,ig_24
Golden State Warriors,9.1,32.5
Los Angeles Lakers,5.3,24.6
Cleveland Cavaliers,6.7,16.6
Chicago Bulls,3.6,10.1
Boston Celtics,2.8,8.3
Miami Heat,3.0,6.7
Houston Rockets,2.6,6.3
Oklahoma City Thunder,3.5,6.0
Milwaukee Bucks,1.0,5.5
LA Clippers,1.8,5.3
San Antonio Spurs,2.2,5.2
Brooklyn Nets,0.827,4.8
Dallas Mavericks,0.82,4.5
Philadelphia 76ers,1.2,4.3
Toronto Raptors,1.4,4.1
New York Knicks,1.7,4.1
Phoenix Suns,0.782,3.6
Minnesota Timberwolves,1.1,3.6
Indiana Pacers,1.2,3.2
Portland Trail Blazers,1.0,2.9
Denver Nuggets,0.652,2.8
New Orleans Pelicans,0.969,2.8
Atlanta Hawks,0.812,2.6
Charlotte Hornets,0.859,2.4
Sacramento Kings,0.781,2.2
Memphis Grizzlies,0.589,2.0
Orlando Magic,0.683,1.9
Washington Wizards,0.865,1.5
Detroit Pistons,0.727,1.5
Utah Jazz,0.644,1.4
