team,val_18,val_24,val_25
Golden State Warriors,3.1,8.8,9.4
New York Knicks,3.6,7.5,7.5
Los Angeles Lakers,3.3,7.1,7.0
Boston Celtics,2.5,6.0,6.1
LA Clippers,2.15,5.5,5.5
Chicago Bulls,2.6,5.0,5.8
Houston Rockets,2.2,4.9,5.7
Brooklyn Nets,2.3,4.8,4.8
Dallas Mavericks,1.9,4.7,4.7
Philadelphia 76ers,1.18,4.6,4.6
Toronto Raptors,1.4,4.4,4.4
Miami Heat,1.7,3.9,4.25
San Antonio Spurs,1.55,3.5,3.85
Phoenix Suns,1.28,4.0,4.3
Washington Wizards,1.35,3.5,4.1
Milwaukee Bucks,1.075,3.3,4.0
Cleveland Cavaliers,1.325,3.35,3.95
Denver Nuggets,1.125,3.38,3.9
Sacramento Kings,1.375,3.33,3.7
Oklahoma City Thunder,1.25,3.2,3.65
Indiana Pacers,1.175,3.1,3.6
Utah Jazz,1.2,3.0,3.55
Portland Trail Blazers,1.3,3.0,3.5
Detroit Pistons,1.1,2.8,3.4
Charlotte Hornets,1.0,2.7,3.3
Orlando Magic,1.225,2.6,3.2
Minnesota Timberwolves,1.06,2.5,3.1
New Orleans Pelicans,1.0,2.5,3.05
Atlanta Hawks,1.15,2.7,3.8
Memphis Grizzlies,1.0,2.5,3.0
